Player,Team,Position,Fee,Season,Transfer
Marlos Moreno,Manchester City,Left Winger,0.0,2017/2018,Arrival
Pablo Maffeo,Manchester City,Right-Back,0.0,2017/2018,Arrival
Abdul Razak,Manchester City,Central Midfield,0.0,2012/2013,Arrival
Abdul Razak,Manchester City,Central Midfield,0.0,2012/2013,Arrival
Richard Wright,Manchester City,Goalkeeper,0.0,2016/2017,Departure
Aaron Lennon,Tottenham Hotspur,Right Winger,0.0,2014/2015,Departure
Heurelho Gomes,Tottenham Hotspur,Goalkeeper,0.0,2014/2015,Departure
Pablo Zabaleta,Manchester City,Right-Back,0.0,2017/2018,Departure
Bersant Celina,Manchester City,Attacking Midfield,0.0,2016/2017,Departure
Pablo Maffeo,Manchester City,Right-Back,0.0,2016/2017,Departure
Gerónimo Rulli,Manchester City,Goalkeeper,0.0,2016/2017,Arrival
Pablo Marí,Manchester City,Centre-Back,0.0,2017/2018,Arrival
Enes Ünal,Manchester City,Centre-Forward,0.0,2015/2016,Departure
Stevan Jovetic,Manchester City,Centre-Forward,0.0,2016/2017,Arrival
Rubén Sobrino,Manchester City,Centre-Forward,0.0,2017/2018,Arrival
Jesús Navas,Manchester City,Right-Back,0.0,2017/2018,Departure
Bersant Celina,Manchester City,Attacking Midfield,0.0,2017/2018,Arrival
Ryan Fredericks,Tottenham Hotspur,Right-Back,0.0,2014/2015,Departure
Angus Gunn,Manchester City,Goalkeeper,0.0,2017/2018,Arrival
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2017/2018,Arrival
Marlos Moreno,Manchester City,Left Winger,0.0,2017/2018,Arrival
Benoît Assou-Ekotto,Tottenham Hotspur,Left-Back,0.0,2014/2015,Departure
Tomislav Gomelt,Tottenham Hotspur,Central Midfield,0.0,2014/2015,Departure
Jordan Archer,Tottenham Hotspur,Goalkeeper,0.0,2014/2015,Departure
Jordan Archer,Tottenham Hotspur,Goalkeeper,0.0,2014/2015,Departure
Tom Carroll,Tottenham Hotspur,Central Midfield,0.0,2014/2015,Departure
Grant Hall,Tottenham Hotspur,Centre-Back,0.0,2014/2015,Departure
Grant Hall,Tottenham Hotspur,Centre-Back,0.0,2014/2015,Departure
Alex Pritchard,Tottenham Hotspur,Attacking Midfield,0.0,2014/2015,Departure
DeAndre Yedlin,Tottenham Hotspur,Right-Back,0.0,2014/2015,Departure
Bongani Khumalo,Tottenham Hotspur,Centre-Back,0.0,2014/2015,Departure
Dele Alli,Tottenham Hotspur,Attacking Midfield,0.0,2014/2015,Departure
William Gallas,Tottenham Hotspur,Centre-Back,0.0,2013/2014,Departure
David Bentley,Tottenham Hotspur,Right Midfield,0.0,2013/2014,Departure
Tomislav Gomelt,Tottenham Hotspur,Central Midfield,0.0,2013/2014,Departure
Pablo Maffeo,Manchester City,Right-Back,0.0,2018/2019,Arrival
Benoît Assou-Ekotto,Tottenham Hotspur,Left-Back,0.0,2013/2014,Departure
Adam Smith,Tottenham Hotspur,Right-Back,0.0,2013/2014,Departure
John Bostock,Tottenham Hotspur,Central Midfield,0.0,2013/2014,Departure
John Guidetti,Manchester City,Centre-Forward,0.0,2013/2014,Arrival
Patrick Roberts,Manchester City,Right Winger,0.0,2015/2016,Departure
Arijanet Muric,Manchester City,Goalkeeper,0.0,2018/2019,Arrival
Olarenwaju Kayode,Manchester City,Centre-Forward,0.0,2018/2019,Arrival
Jonathan Miles,Tottenham Hotspur,Goalkeeper,0.0,2013/2014,Departure
Jason Denayer,Manchester City,Centre-Back,0.0,2018/2019,Arrival
Gaël Clichy,Manchester City,Left-Back,0.0,2017/2018,Departure
Ledley King,Tottenham Hotspur,Centre-Back,0.0,2012/2013,Departure
Harry Kane,Tottenham Hotspur,Centre-Forward,0.0,2012/2013,Departure
Ryan Fredericks,Tottenham Hotspur,Right-Back,0.0,2012/2013,Departure
Jonathan Miles,Tottenham Hotspur,Goalkeeper,0.0,2012/2013,Departure
Gareth Barry,Manchester City,Defensive Midfield,0.0,2013/2014,Arrival
Scott Sinclair,Manchester City,Left Winger,0.0,2013/2014,Arrival
Louis Hutton,Manchester City,Central Midfield,0.0,2013/2014,Arrival
Manu García,Manchester City,Attacking Midfield,0.0,2018/2019,Arrival
Lewis Holtby,Tottenham Hotspur,Central Midfield,0.0,2013/2014,Departure
Iago Falque,Tottenham Hotspur,Right Winger,0.0,2013/2014,Departure
Tom Carroll,Tottenham Hotspur,Central Midfield,0.0,2013/2014,Departure
Bongani Khumalo,Tottenham Hotspur,Centre-Back,0.0,2013/2014,Departure
Simon Dawkins,Tottenham Hotspur,Left Winger,0.0,2013/2014,Departure
Adam Smith,Tottenham Hotspur,Right-Back,0.0,2013/2014,Departure
Ryan Mason,Tottenham Hotspur,Central Midfield,0.0,2013/2014,Departure
Jonathan Obika,Tottenham Hotspur,Centre-Forward,0.0,2013/2014,Departure
Jonathan Obika,Tottenham Hotspur,Centre-Forward,0.0,2013/2014,Departure
Grant Hall,Tottenham Hotspur,Centre-Back,0.0,2013/2014,Departure
Ryan Fredericks,Tottenham Hotspur,Right-Back,0.0,2013/2014,Departure
Alex Pritchard,Tottenham Hotspur,Attacking Midfield,0.0,2013/2014,Departure
Cristian Ceballos,Tottenham Hotspur,Attacking Midfield,0.0,2013/2014,Departure
Bersant Celina,Manchester City,Attacking Midfield,0.0,2017/2018,Arrival
Enes Ünal,Manchester City,Centre-Forward,0.0,2015/2016,Departure
John Bostock,Tottenham Hotspur,Central Midfield,0.0,2012/2013,Departure
Cameron Carter-Vickers,Tottenham Hotspur,Centre-Back,0.0,2017/2018,Departure
Josh Onomah,Tottenham Hotspur,Central Midfield,0.0,2018/2019,Departure
Georges-Kevin N'Koudou,Tottenham Hotspur,Left Winger,0.0,2018/2019,Departure
Thomas Agyepong,Manchester City,Left Winger,0.0,2016/2017,Arrival
Pau López,Tottenham Hotspur,Goalkeeper,0.0,2017/2018,Departure
David Button,Tottenham Hotspur,Goalkeeper,0.0,2017/2018,Departure
Cameron Carter-Vickers,Tottenham Hotspur,Centre-Back,0.0,2017/2018,Departure
Josh Onomah,Tottenham Hotspur,Central Midfield,0.0,2017/2018,Departure
Mohammed Abu,Manchester City,Defensive Midfield,0.0,2012/2013,Arrival
Georges-Kevin N'Koudou,Tottenham Hotspur,Left Winger,0.0,2017/2018,Departure
Ryan McGivern,Manchester City,Centre-Back,0.0,2012/2013,Arrival
Thomas Agyepong,Manchester City,Left Winger,0.0,2015/2016,Departure
Anthony Cáceres,Manchester City,Attacking Midfield,0.0,2015/2016,Departure
Rubén Sobrino,Manchester City,Centre-Forward,0.0,2015/2016,Departure
Luke Brattan,Manchester City,Defensive Midfield,0.0,2015/2016,Departure
Mohammed Abu,Manchester City,Defensive Midfield,0.0,2012/2013,Arrival
Rubén Sobrino,Manchester City,Centre-Forward,0.0,2016/2017,Arrival
Olarenwaju Kayode,Manchester City,Centre-Forward,0.0,2017/2018,Arrival
Enes Ünal,Manchester City,Centre-Forward,0.0,2016/2017,Arrival
Roque Santa Cruz,Manchester City,Centre-Forward,0.0,2012/2013,Arrival
John Guidetti,Manchester City,Centre-Forward,0.0,2012/2013,Arrival
Rony Lopes,Manchester City,Right Winger,0.0,2012/2013,Arrival
Adam Drury,Manchester City,Right-Back,0.0,2012/2013,Arrival
Richard Wright,Manchester City,Goalkeeper,0.0,2012/2013,Arrival
Karim Rekik,Manchester City,Centre-Back,0.0,2012/2013,Arrival
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2016/2017,Arrival
Anthony Cáceres,Manchester City,Attacking Midfield,0.0,2016/2017,Arrival
Wayne Bridge,Manchester City,Left-Back,0.0,2012/2013,Arrival
Frank Lampard,Manchester City,Central Midfield,0.0,2015/2016,Departure
Cameron Carter-Vickers,Tottenham Hotspur,Centre-Back,0.0,2018/2019,Departure
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2016/2017,Arrival
Aaron Mooy,Manchester City,Central Midfield,0.0,2016/2017,Arrival
Florian Lejeune,Manchester City,Centre-Back,0.0,2016/2017,Arrival
Florian Lejeune,Manchester City,Centre-Back,0.0,2015/2016,Departure
Jason Denayer,Manchester City,Centre-Back,0.0,2016/2017,Arrival
Jason Denayer,Manchester City,Centre-Back,0.0,2016/2017,Arrival
Bongani Khumalo,Tottenham Hotspur,Centre-Back,0.0,2015/2016,Departure
Eliaquim Mangala,Manchester City,Centre-Back,0.0,2017/2018,Arrival
Grant Hall,Tottenham Hotspur,Centre-Back,0.0,2015/2016,Departure
Jordan Archer,Tottenham Hotspur,Goalkeeper,0.0,2015/2016,Departure
Jonathan Miles,Tottenham Hotspur,Goalkeeper,0.0,2015/2016,Departure
Tomislav Gomelt,Tottenham Hotspur,Central Midfield,0.0,2015/2016,Departure
Cristian Ceballos,Tottenham Hotspur,Attacking Midfield,0.0,2015/2016,Departure
Eirik Holmen Johansen,Manchester City,Goalkeeper,0.0,2012/2013,Arrival
Patrick Roberts,Manchester City,Right Winger,0.0,2016/2017,Arrival
Joe Hart,Manchester City,Goalkeeper,0.0,2017/2018,Arrival
Joe Hart,Manchester City,Goalkeeper,0.0,2017/2018,Arrival
Enes Ünal,Manchester City,Centre-Forward,0.0,2017/2018,Arrival
Patrick Roberts,Manchester City,Right Winger,0.0,2017/2018,Arrival
Oleksandr Zinchenko,Manchester City,Left-Back,0.0,2017/2018,Arrival
Jack Harrison,Manchester City,Right Winger,0.0,2017/2018,Arrival
Eliaquim Mangala,Manchester City,Centre-Back,0.0,2017/2018,Arrival
Samir Nasri,Manchester City,Attacking Midfield,0.0,2017/2018,Arrival
Federico Fazio,Tottenham Hotspur,Centre-Back,0.0,2015/2016,Departure
Alex Pritchard,Tottenham Hotspur,Attacking Midfield,0.0,2015/2016,Departure
DeAndre Yedlin,Tottenham Hotspur,Right-Back,0.0,2015/2016,Departure
Emmanuel Adebayor,Tottenham Hotspur,Centre-Forward,0.0,2015/2016,Departure
Brad Friedel,Tottenham Hotspur,Goalkeeper,0.0,2015/2016,Departure
Phil Foden,Manchester City,Right Winger,0.0,2017/2018,Arrival
Brahim Díaz,Manchester City,Attacking Midfield,0.0,2017/2018,Arrival
Adam Drury,Manchester City,Right-Back,0.0,2012/2013,Arrival
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2015/2016,Departure
Reece Wabara,Manchester City,Right-Back,0.0,2012/2013,Arrival
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2015/2016,Departure
Reece Wabara,Manchester City,Right-Back,0.0,2012/2013,Arrival
Abdisalam Ibrahim,Manchester City,Central Midfield,0.0,2012/2013,Arrival
Clinton N'Jie,Tottenham Hotspur,Right Winger,0.0,2016/2017,Departure
Nabil Bentaleb,Tottenham Hotspur,Defensive Midfield,0.0,2016/2017,Departure
Alex Pritchard,Tottenham Hotspur,Attacking Midfield,0.0,2012/2013,Departure
John Bostock,Tottenham Hotspur,Central Midfield,0.0,2012/2013,Departure
John Bostock,Tottenham Hotspur,Central Midfield,0.0,2012/2013,Arrival
Stuart Taylor,Manchester City,Goalkeeper,0.0,2012/2013,Departure
Alex Pritchard,Tottenham Hotspur,Attacking Midfield,0.0,2014/2015,Arrival
Iago Falque,Tottenham Hotspur,Right Winger,0.0,2014/2015,Arrival
Tom Carroll,Tottenham Hotspur,Central Midfield,0.0,2014/2015,Arrival
Dele Alli,Tottenham Hotspur,Attacking Midfield,0.0,2014/2015,Arrival
Aaron Lennon,Tottenham Hotspur,Right Winger,0.0,2014/2015,Arrival
Stefan Savic,Manchester City,Centre-Back,0.0,2012/2013,Departure
Ahmad Benali,Manchester City,Central Midfield,0.0,2012/2013,Departure
Cristian Ceballos,Tottenham Hotspur,Attacking Midfield,0.0,2014/2015,Arrival
Roque Santa Cruz,Manchester City,Centre-Forward,0.0,2012/2013,Departure
Wayne Bridge,Manchester City,Left-Back,0.0,2012/2013,Departure
Dedryck Boyata,Manchester City,Centre-Back,0.0,2012/2013,Departure
Jonathan Miles,Tottenham Hotspur,Goalkeeper,0.0,2013/2014,Arrival
Ryan Fredericks,Tottenham Hotspur,Right-Back,0.0,2013/2014,Arrival
Grant Hall,Tottenham Hotspur,Centre-Back,0.0,2013/2014,Arrival
Bongani Khumalo,Tottenham Hotspur,Centre-Back,0.0,2014/2015,Arrival
Thomas Agyepong,Manchester City,Left Winger,0.0,2014/2015,Arrival
Enock Kwakwa,Manchester City,Defensive Midfield,0.0,2013/2014,Arrival
Ryan Fredericks,Tottenham Hotspur,Right-Back,0.0,2014/2015,Arrival
Pablo Marí,Manchester City,Centre-Back,0.0,2017/2018,Departure
Tomislav Gomelt,Tottenham Hotspur,Central Midfield,0.0,2014/2015,Arrival
Jordan Archer,Tottenham Hotspur,Goalkeeper,0.0,2014/2015,Arrival
Grant Hall,Tottenham Hotspur,Centre-Back,0.0,2014/2015,Arrival
Grant Hall,Tottenham Hotspur,Centre-Back,0.0,2014/2015,Arrival
DeAndre Yedlin,Tottenham Hotspur,Right-Back,0.0,2014/2015,Arrival
Angus Gunn,Manchester City,Goalkeeper,0.0,2017/2018,Departure
James Milner,Manchester City,Central Midfield,0.0,2015/2016,Departure
Douglas Luiz,Manchester City,Central Midfield,0.0,2017/2018,Departure
Edin Dzeko,Manchester City,Centre-Forward,0.0,2016/2017,Arrival
Thomas Agyepong,Manchester City,Left Winger,0.0,2016/2017,Departure
Wilfried Bony,Manchester City,Centre-Forward,0.0,2016/2017,Arrival
Bersant Celina,Manchester City,Attacking Midfield,0.0,2016/2017,Arrival
Bacary Sagna,Manchester City,Right-Back,0.0,2014/2015,Arrival
Jonathan Obika,Tottenham Hotspur,Centre-Forward,0.0,2013/2014,Arrival
Jonathan Obika,Tottenham Hotspur,Centre-Forward,0.0,2013/2014,Arrival
Alex Pritchard,Tottenham Hotspur,Attacking Midfield,0.0,2013/2014,Arrival
Vladimír Weiss,Manchester City,Left Winger,0.0,2012/2013,Arrival
Nabil Bentaleb,Tottenham Hotspur,Defensive Midfield,0.0,2013/2014,Arrival
Cristian Ceballos,Tottenham Hotspur,Attacking Midfield,0.0,2013/2014,Arrival
Jordan Archer,Tottenham Hotspur,Goalkeeper,0.0,2013/2014,Arrival
Ryan McGivern,Manchester City,Centre-Back,0.0,2012/2013,Departure
Abdisalam Ibrahim,Manchester City,Central Midfield,0.0,2012/2013,Departure
Abdisalam Ibrahim,Manchester City,Central Midfield,0.0,2012/2013,Departure
Reece Wabara,Manchester City,Right-Back,0.0,2012/2013,Departure
Ryan Mason,Tottenham Hotspur,Central Midfield,0.0,2013/2014,Arrival
Adam Drury,Manchester City,Right-Back,0.0,2012/2013,Departure
Eirik Holmen Johansen,Manchester City,Goalkeeper,0.0,2012/2013,Departure
Ryan Fredericks,Tottenham Hotspur,Right-Back,0.0,2012/2013,Arrival
Jonathan Miles,Tottenham Hotspur,Goalkeeper,0.0,2012/2013,Arrival
Alex Pritchard,Tottenham Hotspur,Attacking Midfield,0.0,2012/2013,Arrival
John Bostock,Tottenham Hotspur,Central Midfield,0.0,2012/2013,Arrival
Tomislav Gomelt,Tottenham Hotspur,Central Midfield,0.0,2013/2014,Arrival
Lewis Holtby,Tottenham Hotspur,Central Midfield,0.0,2013/2014,Arrival
Benoît Assou-Ekotto,Tottenham Hotspur,Left-Back,0.0,2013/2014,Arrival
Mohammed Abu,Manchester City,Defensive Midfield,0.0,2012/2013,Departure
Bacary Sagna,Manchester City,Right-Back,0.0,2017/2018,Departure
Luka Ilic,Manchester City,Attacking Midfield,0.0,2017/2018,Departure
Mohammed Abu,Manchester City,Defensive Midfield,0.0,2012/2013,Departure
Jake Livermore,Tottenham Hotspur,Defensive Midfield,0.0,2013/2014,Arrival
Iago Falque,Tottenham Hotspur,Right Winger,0.0,2013/2014,Arrival
Tom Carroll,Tottenham Hotspur,Central Midfield,0.0,2013/2014,Arrival
Heurelho Gomes,Tottenham Hotspur,Goalkeeper,0.0,2013/2014,Arrival
Simon Dawkins,Tottenham Hotspur,Left Winger,0.0,2013/2014,Arrival
Bongani Khumalo,Tottenham Hotspur,Centre-Back,0.0,2013/2014,Arrival
Simon Dawkins,Tottenham Hotspur,Left Winger,0.0,2013/2014,Arrival
Bongani Khumalo,Tottenham Hotspur,Centre-Back,0.0,2013/2014,Arrival
Adam Smith,Tottenham Hotspur,Right-Back,0.0,2013/2014,Arrival
Ryan Mason,Tottenham Hotspur,Central Midfield,0.0,2013/2014,Arrival
Reece Wabara,Manchester City,Right-Back,0.0,2013/2014,Arrival
Micah Richards,Manchester City,Right-Back,0.0,2015/2016,Departure
Adam Smith,Tottenham Hotspur,Right-Back,0.0,2012/2013,Departure
Abdul Razak,Manchester City,Central Midfield,0.0,2013/2014,Arrival
Eliaquim Mangala,Manchester City,Centre-Back,0.0,2017/2018,Departure
Luka Ilic,Manchester City,Attacking Midfield,0.0,2018/2019,Arrival
Yangel Herrera,Manchester City,Central Midfield,0.0,2018/2019,Arrival
Pablo Marí,Manchester City,Centre-Back,0.0,2018/2019,Arrival
Anthony Cáceres,Manchester City,Attacking Midfield,0.0,2018/2019,Arrival
Roque Santa Cruz,Manchester City,Centre-Forward,0.0,2013/2014,Arrival
Abdisalam Ibrahim,Manchester City,Central Midfield,0.0,2013/2014,Arrival
Jermaine Jenas,Tottenham Hotspur,Central Midfield,0.0,2012/2013,Departure
Mohammed Abu,Manchester City,Defensive Midfield,0.0,2013/2014,Arrival
Mohammed Abu,Manchester City,Defensive Midfield,0.0,2013/2014,Arrival
Adam Drury,Manchester City,Right-Back,0.0,2015/2016,Departure
John Guidetti,Manchester City,Centre-Forward,0.0,2015/2016,Departure
Anthony Cáceres,Manchester City,Attacking Midfield,0.0,2018/2019,Arrival
Patrick Roberts,Manchester City,Right Winger,0.0,2017/2018,Departure
Willy Caballero,Manchester City,Goalkeeper,0.0,2017/2018,Departure
Louis Saha,Tottenham Hotspur,Centre-Forward,0.0,2012/2013,Departure
Josh Onomah,Tottenham Hotspur,Central Midfield,0.0,2015/2016,Arrival
Iago Falque,Tottenham Hotspur,Right Winger,0.0,2012/2013,Departure
Ryan Mason,Tottenham Hotspur,Central Midfield,0.0,2012/2013,Departure
Jonathan Obika,Tottenham Hotspur,Centre-Forward,0.0,2012/2013,Departure
Simon Dawkins,Tottenham Hotspur,Left Winger,0.0,2012/2013,Departure
Harry Kane,Tottenham Hotspur,Centre-Forward,0.0,2012/2013,Departure
Andros Townsend,Tottenham Hotspur,Right Winger,0.0,2012/2013,Departure
Bongani Khumalo,Tottenham Hotspur,Centre-Back,0.0,2012/2013,Departure
Danny Rose,Tottenham Hotspur,Left-Back,0.0,2012/2013,Departure
Ryan Nelsen,Tottenham Hotspur,Centre-Back,0.0,2012/2013,Departure
David Bentley,Tottenham Hotspur,Right Midfield,0.0,2012/2013,Departure
David Bentley,Tottenham Hotspur,Right Midfield,0.0,2012/2013,Departure
Jermaine Jenas,Tottenham Hotspur,Central Midfield,0.0,2012/2013,Departure
Oscar Jansson,Tottenham Hotspur,Goalkeeper,0.0,2012/2013,Departure
Ben Alnwick,Tottenham Hotspur,Goalkeeper,0.0,2012/2013,Departure
Carlo Cudicini,Tottenham Hotspur,Goalkeeper,0.0,2012/2013,Departure
Cameron Carter-Vickers,Tottenham Hotspur,Centre-Back,0.0,2018/2019,Arrival
Josh Onomah,Tottenham Hotspur,Central Midfield,0.0,2018/2019,Arrival
Vincent Janssen,Tottenham Hotspur,Centre-Forward,0.0,2018/2019,Arrival
Arijanet Muric,Manchester City,Goalkeeper,0.0,2018/2019,Arrival
Jack Harrison,Manchester City,Right Winger,0.0,2017/2018,Departure
Aleix García,Manchester City,Central Midfield,0.0,2017/2018,Departure
Marlos Moreno,Manchester City,Left Winger,0.0,2017/2018,Departure
Anthony Cáceres,Manchester City,Attacking Midfield,0.0,2017/2018,Departure
Harry Winks,Tottenham Hotspur,Defensive Midfield,0.0,2016/2017,Arrival
Thomas Agyepong,Manchester City,Left Winger,0.0,2018/2019,Arrival
Marlos Moreno,Manchester City,Left Winger,0.0,2017/2018,Departure
Oliver Skipp,Tottenham Hotspur,Defensive Midfield,0.0,2018/2019,Arrival
Pablo Maffeo,Manchester City,Right-Back,0.0,2017/2018,Departure
Jordan Archer,Tottenham Hotspur,Goalkeeper,0.0,2015/2016,Arrival
Tomislav Gomelt,Tottenham Hotspur,Central Midfield,0.0,2015/2016,Arrival
DeAndre Yedlin,Tottenham Hotspur,Right-Back,0.0,2015/2016,Arrival
Alex Pritchard,Tottenham Hotspur,Attacking Midfield,0.0,2015/2016,Arrival
Lewis Holtby,Tottenham Hotspur,Central Midfield,0.0,2015/2016,Arrival
Cameron Carter-Vickers,Tottenham Hotspur,Centre-Back,0.0,2016/2017,Arrival
Federico Fazio,Tottenham Hotspur,Centre-Back,0.0,2016/2017,Arrival
Bersant Celina,Manchester City,Attacking Midfield,0.0,2017/2018,Departure
Olarenwaju Kayode,Manchester City,Centre-Forward,0.0,2017/2018,Departure
Olarenwaju Kayode,Manchester City,Centre-Forward,0.0,2017/2018,Departure
Thomas Agyepong,Manchester City,Left Winger,0.0,2018/2019,Arrival
Marlos Moreno,Manchester City,Left Winger,0.0,2018/2019,Arrival
Paulo Gazzaniga,Tottenham Hotspur,Goalkeeper,0.0,2017/2018,Arrival
Kyle Walker-Peters,Tottenham Hotspur,Right-Back,0.0,2017/2018,Arrival
Nabil Bentaleb,Tottenham Hotspur,Defensive Midfield,0.0,2017/2018,Arrival
Federico Fazio,Tottenham Hotspur,Centre-Back,0.0,2017/2018,Arrival
Georges-Kevin N'Koudou,Tottenham Hotspur,Left Winger,0.0,2017/2018,Arrival
Clinton N'Jie,Tottenham Hotspur,Right Winger,0.0,2017/2018,Arrival
Josh Onomah,Tottenham Hotspur,Central Midfield,0.0,2017/2018,Arrival
Cameron Carter-Vickers,Tottenham Hotspur,Centre-Back,0.0,2017/2018,Arrival
Cameron Carter-Vickers,Tottenham Hotspur,Centre-Back,0.0,2017/2018,Arrival
David Button,Tottenham Hotspur,Goalkeeper,0.0,2017/2018,Arrival
Reece Wabara,Manchester City,Right-Back,0.0,2012/2013,Departure
Kenneth Omeruo,Chelsea,Centre-Back,0.0,2015/2016,Departure
Daniel Boateng,Arsenal,Centre-Back,0.0,2013/2014,Arrival
Ángelo Henríquez,Manchester United,Centre-Forward,0.0,2015/2016,Arrival
Adnan Januzaj,Manchester United,Right Winger,0.0,2016/2017,Arrival
Axel Tuanzebe,Manchester United,Right-Back,0.0,2016/2017,Arrival
Zlatan Ibrahimović,Manchester United,Centre-Forward,0.0,2016/2017,Arrival
Sam Johnstone,Manchester United,Goalkeeper,0.0,2015/2016,Arrival
Will Keane,Manchester United,Centre-Forward,0.0,2015/2016,Arrival
Vanja Milinković-Savić,Manchester United,Goalkeeper,0.0,2015/2016,Arrival
Tyler Blackett,Manchester United,Left-Back,0.0,2015/2016,Arrival
Nick Powell,Manchester United,Attacking Midfield,0.0,2015/2016,Arrival
James Wilson,Manchester United,Centre-Forward,0.0,2015/2016,Arrival
Víctor Valdés,Manchester United,Goalkeeper,0.0,2015/2016,Arrival
Sam Johnstone,Manchester United,Goalkeeper,0.0,2016/2017,Arrival
Adnan Januzaj,Manchester United,Right Winger,0.0,2015/2016,Arrival
Chicharito,Manchester United,Centre-Forward,0.0,2015/2016,Arrival
Nani,Manchester United,Left Winger,0.0,2015/2016,Arrival
Timothy Fosu-Mensah,Manchester United,Right-Back,0.0,2015/2016,Arrival
Marcus Rashford,Manchester United,Left Winger,0.0,2015/2016,Arrival
Guillermo Varela,Manchester United,Right-Back,0.0,2015/2016,Arrival
Andreas Pereira,Manchester United,Attacking Midfield,0.0,2015/2016,Arrival
Sergio Romero,Manchester United,Goalkeeper,0.0,2015/2016,Arrival
Sam Johnstone,Manchester United,Goalkeeper,0.0,2014/2015,Arrival
James Wilson,Manchester United,Centre-Forward,0.0,2016/2017,Arrival
Joel Pereira,Manchester United,Goalkeeper,0.0,2017/2018,Arrival
Allan,Liverpool,Defensive Midfield,0.0,2018/2019,Departure
Cameron Borthwick-Jackson,Manchester United,Left-Back,0.0,2018/2019,Arrival
Reece Brown,Manchester United,Centre-Back,0.0,2012/2013,Departure
Ben Amos,Manchester United,Goalkeeper,0.0,2012/2013,Departure
Bebé,Manchester United,Left Winger,0.0,2012/2013,Departure
Wilfried Zaha,Manchester United,Left Winger,0.0,2012/2013,Departure
Ángelo Henríquez,Manchester United,Centre-Forward,0.0,2012/2013,Departure
Fábio,Manchester United,Right-Back,0.0,2012/2013,Departure
Tomasz Kuszczak,Manchester United,Goalkeeper,0.0,2012/2013,Departure
Joel Pereira,Manchester United,Goalkeeper,0.0,2018/2019,Arrival
James Wilson,Manchester United,Centre-Forward,0.0,2018/2019,Arrival
Axel Tuanzebe,Manchester United,Right-Back,0.0,2018/2019,Arrival
Scott McTominay,Manchester United,Defensive Midfield,0.0,2017/2018,Arrival
Andreas Pereira,Manchester United,Attacking Midfield,0.0,2018/2019,Arrival
Timothy Fosu-Mensah,Manchester United,Right-Back,0.0,2018/2019,Arrival
Cameron Borthwick-Jackson,Manchester United,Left-Back,0.0,2018/2019,Arrival
Guillermo Varela,Manchester United,Right-Back,0.0,2017/2018,Arrival
Axel Tuanzebe,Manchester United,Right-Back,0.0,2017/2018,Arrival
James Wilson,Manchester United,Centre-Forward,0.0,2017/2018,Arrival
Sam Johnstone,Manchester United,Goalkeeper,0.0,2017/2018,Arrival
Andreas Pereira,Manchester United,Attacking Midfield,0.0,2017/2018,Arrival
Timothy Fosu-Mensah,Manchester United,Right-Back,0.0,2017/2018,Arrival
Sam Johnstone,Manchester United,Goalkeeper,0.0,2014/2015,Arrival
Will Keane,Manchester United,Centre-Forward,0.0,2014/2015,Arrival
Marnick Vermijl,Manchester United,Left-Back,0.0,2014/2015,Arrival
Reece Brown,Manchester United,Centre-Back,0.0,2012/2013,Arrival
Federico Macheda,Manchester United,Centre-Forward,0.0,2013/2014,Arrival
Nick Powell,Manchester United,Attacking Midfield,0.0,2013/2014,Arrival
Wilfried Zaha,Manchester United,Left Winger,0.0,2013/2014,Arrival
Adnan Januzaj,Manchester United,Right Winger,0.0,2013/2014,Arrival
Will Keane,Manchester United,Centre-Forward,0.0,2013/2014,Arrival
Tom Thorpe,Manchester United,Centre-Back,0.0,2013/2014,Arrival
Sam Johnstone,Manchester United,Goalkeeper,0.0,2012/2013,Arrival
Davide Petrucci,Manchester United,Central Midfield,0.0,2012/2013,Arrival
Reece Brown,Manchester United,Centre-Back,0.0,2012/2013,Arrival
Ben Amos,Manchester United,Goalkeeper,0.0,2012/2013,Arrival
Ben Amos,Manchester United,Goalkeeper,0.0,2014/2015,Arrival
Bebé,Manchester United,Left Winger,0.0,2012/2013,Arrival
Tomasz Kuszczak,Manchester United,Goalkeeper,0.0,2012/2013,Arrival
Ángelo Henríquez,Manchester United,Centre-Forward,0.0,2012/2013,Arrival
Fábio,Manchester United,Right-Back,0.0,2012/2013,Arrival
Wilfried Zaha,Manchester United,Left Winger,0.0,2012/2013,Arrival
Davide Petrucci,Manchester United,Central Midfield,0.0,2012/2013,Arrival
Marnick Vermijl,Manchester United,Left-Back,0.0,2012/2013,Arrival
Connor Randall,Liverpool,Right-Back,0.0,2018/2019,Departure
Ovie Ejaria,Liverpool,Left Midfield,0.0,2018/2019,Departure
Federico Macheda,Manchester United,Centre-Forward,0.0,2013/2014,Arrival
Ben Amos,Manchester United,Goalkeeper,0.0,2013/2014,Arrival
Bebé,Manchester United,Left Winger,0.0,2013/2014,Arrival
Will Keane,Manchester United,Centre-Forward,0.0,2013/2014,Arrival
Jesse Lingard,Manchester United,Attacking Midfield,0.0,2014/2015,Arrival
Bebé,Manchester United,Left Winger,0.0,2014/2015,Arrival
Federico Macheda,Manchester United,Centre-Forward,0.0,2014/2015,Arrival
